Identifier,Responsible partner,Version,"Competency Question / Natural language sentence (fact)",Answer (For Competency Questions),Status (Proposed, Accepted, Rejected, Deprecated),Comments,Extracted from,Priority (High, Medium, Low),Relation with other requirements,Associated ontology elements,Relation to ontology elements in other domains
CQ-INV-01,FEMP,v0.1.0,"¿Cuál es el número total de farolas por municipio y distrito?","SELECT ?mun (COUNT(?f) AS ?total) WHERE { ?f a edintalu:Farola ; edintalu:direccion/esdir:municipio ?mun } GROUP BY ?mun",Accepted,,Datasets Madrid Tenerife Navarra La Palma Castellón,High,CU-01 CU-10,edintalu:Farola esadm:Municipio esadm:Distrito esdir:DireccionPostal edintalu:direccion,edintinf:UrbanElement
CQ-INV-02,FEMP,v0.1.0,"¿Cuál es la densidad de farolas por km² y distrito?","Conteo de Farola por distrito / superficie distrito (dato externo)",Accepted,Indicador FEMP 11.7.EL41,Indicadores ODS-EL FEMP,High,CU-08,edintalu:Farola geosparql:hasGeometry esadm:Distrito,geosparql:Feature
CQ-INV-03,FEMP,v0.1.0,"¿Cuántas farolas hay de cada tipo de soporte?","SELECT ?tipo (COUNT(?f) AS ?total) WHERE { ?f edintalu:poste/edintalu:tipoSoporte ?tipo } GROUP BY ?tipo",Accepted,32 tipos en Tenerife,Datasets Tenerife Navarra Castellón,High,CU-04 CU-03,edintalu:Poste edintalu:tipoSoporte SKOS tipo-soporte,skos:Concept
CQ-INV-04,FEMP,v0.1.0,"¿Qué farolas están situadas en una calle específica?","SELECT ?f WHERE { ?f edintalu:direccion/schema:streetAddress ?addr . FILTER CONTAINS(?addr 'Calle Buscada') }",Accepted,Dirección desglosada en Madrid,Datasets Madrid Tenerife,Medium,CU-01,edintalu:Farola edintalu:direccion esdir:DireccionPostal schema:streetAddress,schema:PostalAddress
CQ-ELEC-01,FEMP,v0.1.0,"¿Qué farolas dependen de cada centro de mando?","SELECT ?cm ?f WHERE { ?f a edintalu:Farola ; edintalu:centroDeMando ?cm }",Accepted,Campo Nº_de_cent en La Palma,Dataset La Palma,High,CU-05 CU-02,edintalu:Farola edintalu:CentroDeMando edintalu:centroDeMando,
CQ-ELEC-02,FEMP,v0.1.0,"¿Cuántas farolas dependen de cada centro de mando?","SELECT ?cm (COUNT(?f) AS ?total) WHERE { ?f edintalu:centroDeMando ?cm } GROUP BY ?cm",Accepted,Agregación por Nº_de_cent,Dataset La Palma,High,CU-05,edintalu:Farola edintalu:CentroDeMando edintalu:centroDeMando,
CQ-ELEC-03,FEMP,v0.1.0,"¿Cuántas farolas hay de cada tipo de alimentación?","SELECT ?tipo (COUNT(?f) AS ?total) WHERE { ?f edintalu:tipoAlimentacion ?tipo } GROUP BY ?tipo",Accepted,5 tipos en Tenerife incluidas Grapada y Batería,Dataset Tenerife,Medium,CU-04,edintalu:tipoAlimentacion SKOS tipo-alimentacion,skos:Concept
CQ-ELEC-04,FEMP,v0.1.0,"¿Cuál es la cobertura geográfica de cada centro de mando?","Bounding box de farolas con edintalu:centroDeMando ?cm",Accepted,Requiere inferencia geométrica,Análisis infraestructura,Low,CQ-ELEC-01,edintalu:CentroDeMando edintalu:centroDeMando geosparql:hasGeometry,geosparql:Geometry
CQ-ENER-01,FEMP,v0.1.0,"¿Cuál es la potencia total instalada por municipio/distrito?","SELECT ?mun (SUM(?pot) AS ?total) WHERE { ?f edintalu:luminaria/edintalu:tieneLampara/edintalu:potenciaNominal ?pot . ?f edintalu:direccion/esdir:municipio ?mun } GROUP BY ?mun",Accepted,Potencia en W (La Palma) y kW (Castellón) - normalizar con qudt,Datasets La Palma Castellón,High,CU-03 CU-05,edintalu:Lampara edintalu:potenciaNominal qudt:unit edintalu:luminaria edintalu:tieneLampara,qudt:QuantityValue
CQ-ENER-02,FEMP,v0.1.0,"¿Cuál es el consumo eléctrico anual por centro de mando y período tarifario?","SELECT ?cm ?periodo (SUM(?kwh) AS ?total) WHERE { ?cm edintalu:tieneSuministro/edintalu:tieneConsumo ?cons . ?cons edintalu:periodoTarifario ?periodo ; sosa:hasResult/qudt:numericValue ?kwh } GROUP BY ?cm ?periodo",Accepted,4 períodos horarios Arganda,Dataset Arganda,High,CU-02,edintalu:ConsumoEnergetico edintalu:periodoTarifario sosa:hasResult qudt:QuantityValue edintsum:electricityConsumption,
CQ-ENER-03,FEMP,v0.1.0,"¿Cuántos kWh de fuentes renovables consume el alumbrado público?","SELECT (SUM(?kwhRen) AS ?total) WHERE { ?sum a edintalu:SuministroElectrico ; edintalu:kwhRenovables ?kwhRen }",Accepted,Ningún dataset tiene este dato,Indicador FEMP 7.2.EL05,Medium,CU-02 CU-08,edintalu:SuministroElectrico edintalu:kwhRenovables,
CQ-ENER-04,FEMP,v0.1.0,"¿Cuál es la proporción de kWh renovables respecto al total?","Ratio kwhRenovables / SUM(sosa:hasResult/qudt:numericValue)",Accepted,Derivada de CQ-ENER-03,Indicador FEMP 7.2.EL06,Medium,CQ-ENER-03,edintalu:SuministroElectrico edintalu:ConsumoEnergetico,
CQ-ENER-05,FEMP,v0.1.0,"¿Qué farolas tienen reductores de flujo y de qué tipo?","SELECT ?f ?enLum ?enInicio WHERE { ?f edintalu:disponeReductorFlujo ?r . ?r edintalu:esReductorFlujoLuminaria ?enLum ; edintalu:esReductorFlujoInicio ?enInicio }",Accepted,Castellón ahorro_rfl y ahorro_rfi SI/NO,Dataset Castellón EIEL,High,CU-03,edintalu:ReductorFlujo edintalu:esReductorFlujoLuminaria edintalu:esReductorFlujoInicio edintalu:disponeReductorFlujo,
CQ-TEC-01,FEMP,v0.1.0,"¿Cuántas farolas usan LED vs descarga vs mixtas?","SELECT ?tipo (COUNT(?f) AS ?total) WHERE { ?f edintalu:luminaria/edintalu:tieneLampara/edintalu:tipoLampara ?tipo } GROUP BY ?tipo",Accepted,DESCARGA 62.6% LED 36.8% LED-DESCARGA 0.6% en Madrid,Dataset Madrid,High,CU-01,edintalu:Lampara edintalu:tipoLampara SKOS tipo-lampara,skos:Concept
